Marca,Modelul nostru,Anii nostri,Produse la noi,Modelul lor,Anii lor,Are limitari?,Textul lor (verbatim),Tip,Se aplica la noi?,Observatii,Link
ford,ford s max,2006-2015,39,ford s max 1,2006-2014,DA,Daca masina nu are plus contact in mufa de alimentare a aparatului radio original este necesar un cablu suplimentar care se achizitioneaza separat.,cere cablu/adaptor separat,,,https://www.navigatiiandroid.ro/navigatie-ford-s-max-1-2006-2014/navigatie-dedicata-cu-android-ford-s-max-2007-2014-negru-2gb-ram-radio-gps-dual-zone-display-hd-7-touchscreen-internet-wi-fi
bmw,bmw seria 1,2004-2011,38,bmw seria 1 e81 e87,2003-2013,DA,"Nu se poate monta pe masini care au navigatie originala din fabrica. Daca masina are incalzire in scaune, butoanele se vor reloca, rama avand spatiu pentru acestea in partea inferioara. Vezi detalii aici.","incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-bmw-seria-1-e81-e87-2003-2013/navigatie-dedicata-cu-android-bmw-seria-1-e81-e87-2007-2013-clima-automata-1gb-ram-radio-gps-dual-zone-display-hd-ips-9
ford,ford mondeo,2007-2014,33,ford mondeo 4,2007-2014,DA,Nu se poate monta pe masini care au navigatie originala din fabrica. Daca masina nu are plus contact in mufa de alimentare a aparatului radio original este necesar un cablu suplimentar care se achizitioneaza separat.,"incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-ford-mondeo-4-2007-2014/navigatie-dedicata-cu-android-ford-mondeo-iv-2007-2014-negru-2gb-ram-radio-gps-dual-zone-display-hd-7-touchscreen-internet-wi
ford,ford galaxy 2,2006-2015,30,ford galaxy 2,2006-2015,DA,Daca masina nu are plus contact in mufa de alimentare a aparatului radio original este necesar un cablu suplimentar care se achizitioneaza separat.,cere cablu/adaptor separat,,,https://www.navigatiiandroid.ro/navigatie-ford-galaxy-2-2006-2015/navigatie-dedicata-cu-android-ford-galaxy-2008-2015-negru-2gb-ram-radio-gps-dual-zone-display-hd-7-touchscreen-internet-wi-fi
bmw,bmw seria 3,2004-2013,29,bmw seria 3 e90,2004-2013,DA,Nu se poate monta pe masini care au navigatie originala din fabrica.,"incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-bmw-seria-3-e90-2004-2013/navigatie-dedicata-cu-android-bmw-seria-3-e90-2004-2013-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
skoda,skoda superb 2,2008-2015,24,skoda superb 2,2008-2015,DA,Nu se poate monta pe masini care au sistem de sunet cu amplificator Sound System.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-skoda-superb-2-2008-2015/navigatie-dedicata-cu-android-skoda-superb-ii-2008-2015-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi
vw,vw transporter t6,2015-2019,24,vw transporter t6,dupa 2015,DA,"Daca masina are rotile de reglare sub grilele de ventilatie, acestea vor trebui scoase pentru a putea monta navigatia.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-vw-transporter-t6-dupa-2015/navigatie-dedicata-cu-android-vw-transporter-caravelle-multivan-t6-2015-2020-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5
nissan,nissan x trail 3,2014-2021,22,nissan x trail 3 t32,2014-2021,DA,Pentru masinile care au camere 360 este necesar un cablu suplimentar care se achizitioneaza separat.,cere cablu/adaptor separat,,,https://www.navigatiiandroid.ro/navigatie-nissan-x-trail-3-t32-2014-2021/navigatie-dedicata-cu-android-nissan-x-trail-t32-2014-2021-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet
toyota,toyota rav4,2005-2012,22,toyota rav4 3,2005-2013,DA,Daca masina are amplificator sau navigatie originala si camera de marsarier este nevoie de acest cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-toyota-rav4-3-2005-2013/navigatie-dedicata-cu-android-toyota-rav4-iii-2005-2013-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
toyota,toyota rav4,2013-2018,22,toyota rav4 4,2013-2018,DA,Daca masina are amplificator sau navigatie originala si camera de marsarier este nevoie de un cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-toyota-rav4-4-2013-2018/navigatie-dedicata-cu-android-toyota-rav4-iv-2013-2018-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi
